estimate,model
0.0000570236552324815,age of childcare entry
0.0000453788688093339,age of childcare entry
0.000107465545059933,age of childcare entry
0.000100330453813045,age of childcare entry
0.0000824015541938356,age of childcare entry
0.000125392089587741,age of childcare entry
0.000131897281689659,age of childcare entry
0.0000670371658146563,age of childcare entry
0.0000703555426791644,age of childcare entry
0.0000828806549659982,age of childcare entry
0.000108258225059799,age of childcare entry
0.0000827973546213519,age of childcare entry
0.0000575336729340437,age of childcare entry
0.0000631196261050304,age of childcare entry
0.000115123315463211,age of childcare entry
0.000136493071976318,age of childcare entry
0.0000477628948509991,age of childcare entry
0.000101790015831793,age of childcare entry
0.000107582561858424,age of childcare entry
0.0000299226029355522,age of childcare entry
0.0000834218812631772,age of childcare entry
0.0000698580174128469,age of childcare entry
0.000109807833101991,age of childcare entry
0.0000678414843147809,age of childcare entry
0.0000853033826821459,age of childcare entry
0.0000580446479908181,age of childcare entry
0.0000909991356071939,age of childcare entry
0.0000360322064986064,age of childcare entry
0.000000138572131964059,age of childcare entry
0.000109918993183135,age of childcare entry
0.000117883882026964,age of childcare entry
0.000138425217109152,age of childcare entry
0.000130999997037562,age of childcare entry
0.0000177765112400217,age of childcare entry
0.0000851060987892725,age of childcare entry
0.0000105161832340078,age of childcare entry
0.000167086425065383,age of childcare entry
0.0000402275490226739,age of childcare entry
0.0000978204882827823,age of childcare entry
0.000100056960360342,age of childcare entry
0.000150740748788936,age of childcare entry
0.000132599792517188,age of childcare entry
0.0000534802708828487,age of childcare entry
0.00013624232926284,age of childcare entry
0.0000572490496954154,age of childcare entry
0.0000797831630783335,age of childcare entry
0.0000859406649548553,age of childcare entry
0.0000576313974630745,age of childcare entry
0.000049076536001722,age of childcare entry
0.0000774985487748166,age of childcare entry
0.00000911174055585824,age of childcare entry
0.000153377306607078,age of childcare entry
0.000032123481358815,age of childcare entry
0.000108935124736091,age of childcare entry
0.0000978795831768909,age of childcare entry
0.000150013136499178,age of childcare entry
0.000115695813476288,age of childcare entry
0.000140156707928417,age of childcare entry
0.0000537459358438076,age of childcare entry
0.000102907097512627,age of childcare entry
0.000112878790172201,age of childcare entry
