Predictor,WAIC,SE_WAIC,Weight,ELPD_DIFF,SE_ELPD_DIFF
By trial - # Verification choice,255.977327358659,15.6644416733527,0.339466368005288,0,0
By trial - Null model,256.773097891257,15.0499645252444,0.228032830607348,-0.397885266298522,1.17894078129968
By trial - Parental interference index,257.23663472014,15.3153192990454,0.180859628645312,-0.629653680739924,0.992609376716012
By trial - # Repeated testquestion,258.572479729067,15.2517135204745,0.0927398900671435,-1.29757618520376,1.23448319154385
By trial - # Words uttered by caregiver,258.880730397711,15.3713321525083,0.079493349116824,-1.45170151952596,1.12782548921262
By trial - # Hints eyes,258.882880551959,15.3461814243615,0.0794079335580845,-1.45277659664961,1.20979577542725
By subject - # Repeated testquestion,83.6050456863644,10.2348088659884,0.806053453835692,0,0
By subject - Parental interference index,88.2748830559996,12.1658837187057,0.0780407694493529,-2.3349186848176,3.57604308178934
By subject - Null model,89.164628274598,11.2102211111553,0.0500167908515964,-2.7797912941168,3.60017853917665
By subject - # Verification choice,89.9558041325165,12.0405054630721,0.0336755089957625,-3.17537922307605,4.47297123021496
By subject - # Words uttered by caregiver,90.5569584864017,10.7031004920462,0.0249330357276513,-3.47595640001862,4.22542599422556
By subject - # Hints eyes,93.0189628937322,11.8356869952637,0.00728044113994513,-4.70695860368392,3.76188166715169
