sample,studyversion,method,stratification,coefficient,CI_lower,CI_upper
kids,hedge,first-second,none,0.816988644910528,0.678615451880587,0.90375659146681
kids,hedge,first-second,target position,0.798044550187712,0.668935414163728,0.89859788233582
kids,hedge,odd-even,none,0.836866118165774,0.747729495721337,0.897646172702289
kids,hedge,odd-even,target position,0.821462173269618,0.569919297738085,0.917134151423987
kids,hedge,permutated,none,0.682830691533381,0.488405410651334,0.822503139446944
kids,hedge,permutated,target position,0.747652474829167,0.580237987498582,0.85620064986839
kids,hedge,Monte Carlo,none,0.849722286600518,0.73780620990378,0.919738445387275
kids,hedge,Monte Carlo,target position,0.926338389972928,0.859696657335776,0.96112353092861
adults,hedge,first-second,none,0.675254852003638,0.522223010672638,0.797138328091755
adults,hedge,first-second,target position,0.645807136876207,0.493467565420287,0.755983985284727
adults,hedge,odd-even,none,0.768606633111072,0.60076111665645,0.867911772103366
adults,hedge,odd-even,target position,0.802405564467743,0.673242779366058,0.882950871865117
adults,hedge,permutated,none,0.665268995882494,0.499459810776857,0.783889239182366
adults,hedge,permutated,target position,0.762697936105148,0.625080264673773,0.853853626150649
adults,hedge,Monte Carlo,none,0.837058243038881,0.734455750798248,0.90016956423038
adults,hedge,Monte Carlo,target position,0.899595025288131,0.826923950075763,0.940906531717187
kids,box,first-second,none,0.546614492538391,0.339868053638414,0.684462030517222
kids,box,first-second,target position,0.600622633514772,0.419215003945731,0.711516581405556
kids,box,odd-even,none,0.53558242751798,0.335433040993181,0.66731387871373
kids,box,odd-even,target position,0.656191650076508,0.449066912549563,0.761781635874733
kids,box,permutated,none,0.480709004721822,0.274947927400086,0.629111917637841
kids,box,permutated,target position,0.640855617520192,0.468252641179247,0.751027791866394
kids,box,Monte Carlo,none,0.753925848286456,0.619967496182501,0.837080335832414
kids,box,Monte Carlo,target position,0.858012357757194,0.764700953406987,0.909206135125865
adults,box,first-second,none,0.668594563045041,0.516463554621596,0.778734678074457
adults,box,first-second,target position,0.625972682316115,0.460611511748763,0.74213312779948
adults,box,odd-even,none,0.75974428115725,0.652947565793574,0.838535316153999
adults,box,odd-even,target position,0.544330805430459,0.269749704310896,0.717371099796081
adults,box,permutated,none,0.616113515876475,0.439922085386074,0.736497445973298
adults,box,permutated,target position,0.506304829566324,0.29628340909229,0.66692438864425
adults,box,Monte Carlo,none,0.81206951580311,0.705978089460708,0.877682120142805
adults,box,Monte Carlo,target position,0.779524398427376,0.652524922752304,0.861146115327985
