sample,studyversion,method,stratification,coefficient,CI_lower,CI_upper
kids,hedge,first-second,none,0.868149109589411,0.774850919367125,0.946894071201802
kids,hedge,first-second,target position,0.781638469169315,0.59040634808796,0.917464890487494
kids,hedge,odd-even,none,0.859483952326268,0.733122284238369,0.912434461883029
kids,hedge,odd-even,target position,0.802416506586165,0.547858131275097,0.930223824439883
kids,hedge,permutated,none,0.574657092631466,0.347327925774519,0.737024830829619
kids,hedge,permutated,target position,0.805436347562102,0.666154496611787,0.90845177840789
kids,hedge,Monte Carlo,none,0.803366315660486,0.64887616791119,0.922600339761649
kids,hedge,Monte Carlo,target position,0.843693274933364,0.705401002276655,0.940485440106092
adults,hedge,first-second,none,0.675254852003638,0.528827864944671,0.796935723980806
adults,hedge,first-second,target position,0.645807136876207,0.483622081970148,0.762505238094998
adults,hedge,odd-even,none,0.768606633111072,0.587322245177531,0.864116442132799
adults,hedge,odd-even,target position,0.802405564467743,0.674262735847117,0.888618829578029
adults,hedge,permutated,none,0.675157294625904,0.476799350272081,0.797159705312105
adults,hedge,permutated,target position,0.802856199285398,0.702060263147921,0.873607311386754
adults,hedge,Monte Carlo,none,0.653914218378837,0.448987604137028,0.77591379294845
adults,hedge,Monte Carlo,target position,0.786107831329052,0.634132071453258,0.871601764854003
kids,box,first-second,none,0.440163492074708,0.188712719937823,0.622145765623318
kids,box,first-second,target position,0.608641023755096,0.412252830916395,0.747485192772644
kids,box,odd-even,none,0.548323126975076,0.326989775735331,0.683238966907321
kids,box,odd-even,target position,0.674249793113165,0.441516314289111,0.783383534119898
kids,box,permutated,none,0.432180616849159,0.168873874920808,0.603728986604204
kids,box,permutated,target position,0.643832316727327,0.443984676496274,0.768131071850684
kids,box,Monte Carlo,none,0.515133895346836,0.294553465717242,0.653285671992827
kids,box,Monte Carlo,target position,0.625171581270999,0.239561143906764,0.785274204252489
adults,box,first-second,none,0.668594563045041,0.515821621584194,0.772591216051595
adults,box,first-second,target position,0.625972682316115,0.468667787975584,0.743616297136614
adults,box,odd-even,none,0.75974428115725,0.648741606014283,0.831060173111865
adults,box,odd-even,target position,0.544330805430459,0.276012887268087,0.725281501848731
adults,box,permutated,none,0.523339549018864,0.31574872848447,0.674810717054734
adults,box,permutated,target position,0.588476877383684,0.398427906448541,0.733779127368942
adults,box,Monte Carlo,none,0.707514553228569,0.543857168574615,0.816122004340137
adults,box,Monte Carlo,target position,0.740375475721955,0.582022886684115,0.830109136943455
